@RELATION all_data_pacman
		@ATTRIBUTE position-x NUMERIC
		@ATTRIBUTE position-y NUMERIC
		@ATTRIBUTE pacman_legal1 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal2 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal3 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_legal4 {West, Stop, East, North, South, None}
		@ATTRIBUTE pacman_mov {West, Stop, East, North, South, None}
		@ATTRIBUTE fantasmas NUMERIC
		@ATTRIBUTE booleanP {True, False}
		@ATTRIBUTE booleanG1 {True, False}
		@ATTRIBUTE booleanG2 {True, False}
		@ATTRIBUTE booleanG3 {True, False}
		@ATTRIBUTE booleanG4 {True, False}
		@ATTRIBUTE positiong1-x NUMERIC
		@ATTRIBUTE positiong1-y NUMERIC
		@ATTRIBUTE positiong2-x NUMERIC
		@ATTRIBUTE positiong2-y NUMERIC
		@ATTRIBUTE positiong3-x NUMERIC
		@ATTRIBUTE positiong3-y NUMERIC
		@ATTRIBUTE positiong4-x NUMERIC
		@ATTRIBUTE positiong4-y NUMERIC
		@ATTRIBUTE ghost1_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost2_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost3_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE ghost4_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE distanciaG1 NUMERIC
		@ATTRIBUTE distanciaG2 NUMERIC
		@ATTRIBUTE distanciaG3 NUMERIC
		@ATTRIBUTE distanciaG4 NUMERIC
		@ATTRIBUTE comida NUMERIC
		@ATTRIBUTE Dcomida NUMERIC
		@ATTRIBUTE pacman_legal {West, Stop, East, North, South, None}
		@ATTRIBUTE score NUMERIC
		@ATTRIBUTE score_next NUMERIC
		
			@data
8, 5, West, Stop, East, North, South, 4, False, True, True, False, False, 3, 9, 2, 12, 5, 1, 7, 1, West, North, Stop, Stop, 9, 13, 9999, 9999, 1, 14, West, 365, 364
7, 5, West, Stop, East, North, South, 4, False, True, True, False, False, 2, 9, 2, 13, 5, 1, 7, 1, West, North, Stop, Stop, 9, 13, 9999, 9999, 1, 15, West, 364, 363
6, 5, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 9, 2, 14, 5, 1, 7, 1, West, North, Stop, Stop, 9, 13, 9999, 9999, 1, 16, West, 363, 362
6, 6, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 9, 2, 13, 5, 1, 7, 1, West, South, Stop, Stop, 8, 11, 9999, 9999, 1, 15, North, 362, 361
5, 6, West, Stop, East, North, South, 4, False, True, True, False, False, 1, 8, 1, 13, 5, 1, 7, 1, South, West, Stop, Stop, 6, 11, 9999, 9999, 1, 16, West, 361, 360
4, 6, West, Stop, East, North, South, 4, False, True, True, False, False, 2, 8, 2, 13, 5, 1, 7, 1, East, East, Stop, Stop, 4, 9, 9999, 9999, 1, 17, West, 360, 359
4, 7, West, Stop, East, North, South, 4, False, True, True, False, False, 2, 7, 2, 12, 5, 1, 7, 1, South, South, Stop, Stop, 2, 7, 9999, 9999, 1, 16, North, 359, 358
3, 7, West, Stop, East, North, South, 4, False, True, True, False, False, 2, 8, 2, 11, 5, 1, 7, 1, North, South, Stop, Stop, 2, 5, 9999, 9999, 1, 17, West, 358, 357
2, 7, West, Stop, East, North, South, 4, False, True, True, False, False, 3, 8, 2, 12, 5, 1, 7, 1, East, North, Stop, Stop, 2, 5, 9999, 9999, 1, 18, West, 357, 356
2, 8, West, Stop, East, North, South, 4, False, True, True, False, False, 4, 8, 3, 12, 5, 1, 7, 1, East, East, Stop, Stop, 2, 5, 9999, 9999, 1, 17, North, 356, 355
3, 8, West, Stop, East, North, South, 4, False, True, True, False, False, 4, 7, 4, 12, 5, 1, 7, 1, South, East, Stop, Stop, 2, 5, 9999, 9999, 1, 16, East, 355, 354
