@relation 'all_data_pacman-weka.filters.unsupervised.attribute.Remove-R30-31,33'

@attribute position-x numeric
@attribute position-y numeric
@attribute pacman_legal1 {West,Stop,East,North,South,None}
@attribute pacman_legal2 {West,Stop,East,North,South,None}
@attribute pacman_legal3 {West,Stop,East,North,South,None}
@attribute pacman_legal4 {West,Stop,East,North,South,None}
@attribute pacman_mov {West,Stop,East,North,South,None}
@attribute fantasmas numeric
@attribute booleanP {True,False}
@attribute booleanG1 {True,False}
@attribute booleanG2 {True,False}
@attribute booleanG3 {True,False}
@attribute booleanG4 {True,False}
@attribute positiong1-x numeric
@attribute positiong1-y numeric
@attribute positiong2-x numeric
@attribute positiong2-y numeric
@attribute positiong3-x numeric
@attribute positiong3-y numeric
@attribute positiong4-x numeric
@attribute positiong4-y numeric
@attribute ghost1_legal {West,Stop,East,North,South,None}
@attribute ghost2_legal {West,Stop,East,North,South,None}
@attribute ghost3_legal {West,Stop,East,North,South,None}
@attribute ghost4_legal {West,Stop,East,North,South,None}
@attribute distanciaG1 numeric
@attribute distanciaG2 numeric
@attribute distanciaG3 numeric
@attribute distanciaG4 numeric
@attribute score numeric
@attribute pacman_legal {West,Stop,East,North,South,None}

@data
13,7,West,Stop,East,North,South,4,False,True,True,True,True,1,7,3,12,11,10,12,9,North,West,North,North,12,15,5,3,-24,West
12,7,West,Stop,East,North,South,4,False,True,True,True,True,1,8,3,12,11,9,11,9,North,West,South,West,12,14,3,3,-25,West
12,8,West,Stop,East,North,South,4,False,True,True,True,True,1,9,4,12,11,8,11,9,North,East,South,West,12,12,1,2,-26,North
12,9,West,Stop,East,North,South,4,False,True,True,True,True,2,9,3,12,11,8,11,8,East,West,South,South,10,12,2,2,-27,North
11,9,West,Stop,East,North,South,4,False,True,True,False,True,3,9,3,12,11,9,11,7,East,West,Stop,South,8,11,9999,2,172,West
11,8,West,Stop,East,North,South,4,False,True,True,False,True,4,9,2,12,5,1,11,7,East,West,Stop,South,8,13,9999,1,171,South
11,7,West,Stop,East,North,South,4,False,True,True,False,True,5,9,1,12,5,1,11,6,East,West,Stop,South,8,15,9999,1,170,South
11,6,West,Stop,East,North,South,4,False,True,True,False,False,4,9,1,11,5,1,7,1,West,South,Stop,Stop,10,15,9999,9999,369,South
11,5,West,Stop,East,North,South,4,False,True,True,False,False,4,8,1,12,5,1,7,1,South,North,Stop,Stop,10,17,9999,9999,368,South
10,5,West,Stop,East,North,South,4,False,True,True,False,False,4,9,2,12,5,1,7,1,North,East,Stop,Stop,10,15,9999,9999,367,West
9,5,West,Stop,East,North,South,4,False,True,True,False,False,3,9,2,11,5,1,7,1,West,South,Stop,Stop,10,13,9999,9999,366,West
8,5,West,Stop,East,North,South,4,False,True,True,False,False,3,9,2,12,5,1,7,1,West,North,Stop,Stop,9,13,9999,9999,365,West
7,5,West,Stop,East,North,South,4,False,True,True,False,False,2,9,2,13,5,1,7,1,West,North,Stop,Stop,9,13,9999,9999,364,West
6,5,West,Stop,East,North,South,4,False,True,True,False,False,1,9,2,14,5,1,7,1,West,North,Stop,Stop,9,13,9999,9999,363,West
6,6,West,Stop,East,North,South,4,False,True,True,False,False,1,9,2,13,5,1,7,1,West,South,Stop,Stop,8,11,9999,9999,362,North
5,6,West,Stop,East,North,South,4,False,True,True,False,False,1,8,1,13,5,1,7,1,South,West,Stop,Stop,6,11,9999,9999,361,West
4,6,West,Stop,East,North,South,4,False,True,True,False,False,2,8,2,13,5,1,7,1,East,East,Stop,Stop,4,9,9999,9999,360,West
4,7,West,Stop,East,North,South,4,False,True,True,False,False,2,7,2,12,5,1,7,1,South,South,Stop,Stop,2,7,9999,9999,359,North
3,7,West,Stop,East,North,South,4,False,True,True,False,False,2,8,2,11,5,1,7,1,North,South,Stop,Stop,2,5,9999,9999,358,West
2,7,West,Stop,East,North,South,4,False,True,True,False,False,3,8,2,12,5,1,7,1,East,North,Stop,Stop,2,5,9999,9999,357,West
2,8,West,Stop,East,North,South,4,False,True,True,False,False,4,8,3,12,5,1,7,1,East,East,Stop,Stop,2,5,9999,9999,356,North
3,8,West,Stop,East,North,South,4,False,True,True,False,False,4,7,4,12,5,1,7,1,South,East,Stop,Stop,2,5,9999,9999,355,East
4,8,West,Stop,East,North,South,4,False,True,True,False,False,4,7,4,12,5,1,7,1,South,East,Stop,Stop,1,4,9999,9999,354,East
4,7,West,Stop,East,North,South,4,False,True,True,False,False,3,7,4,11,5,1,7,1,West,South,Stop,Stop,1,4,9999,9999,353,South
4,6,West,Stop,East,North,South,4,False,True,True,False,False,2,7,3,11,5,1,7,1,West,West,Stop,Stop,3,6,9999,9999,352,South
4,5,West,Stop,East,North,South,4,False,True,True,False,False,2,7,4,11,5,1,7,1,West,East,Stop,Stop,4,6,9999,9999,351,South
4,6,West,Stop,East,North,South,4,False,True,True,False,False,1,7,5,11,5,1,7,1,West,East,Stop,Stop,4,6,9999,9999,350,North
3,6,West,Stop,East,North,South,4,False,True,True,False,False,1,7,4,11,5,1,7,1,West,West,Stop,Stop,3,6,9999,9999,349,West
2,6,West,Stop,East,North,South,4,False,True,True,False,False,1,8,5,11,5,1,7,1,North,East,Stop,Stop,3,8,9999,9999,348,West
2,7,West,Stop,East,North,South,4,False,True,True,False,False,1,7,5,11,5,1,7,1,South,East,Stop,Stop,1,7,9999,9999,347,North
2,8,West,Stop,East,North,South,4,False,True,True,False,False,1,6,6,11,5,1,7,1,South,East,Stop,Stop,3,7,9999,9999,346,North
1,8,Stop,East,North,South,None,4,False,True,True,False,False,2,6,5,11,5,1,7,1,East,West,Stop,Stop,3,7,9999,9999,345,West
1,7,Stop,East,North,South,None,4,False,True,True,False,False,1,6,5,12,5,1,7,1,West,North,Stop,Stop,1,9,9999,9999,344,South
2,7,West,Stop,East,North,South,4,False,True,True,False,False,1,6,4,12,5,1,7,1,West,West,Stop,Stop,2,7,9999,9999,343,East
2,6,West,Stop,East,North,South,4,False,True,True,False,False,1,7,4,13,5,1,7,1,North,North,Stop,Stop,2,9,9999,9999,342,South
1,6,Stop,East,North,South,None,4,False,True,True,False,False,1,8,3,13,5,1,7,1,North,West,Stop,Stop,2,9,9999,9999,341,West
1,7,Stop,East,North,South,None,4,False,True,True,False,False,1,9,2,13,5,1,7,1,North,West,Stop,Stop,2,7,9999,9999,340,North
1,8,Stop,East,North,South,None,4,False,True,True,False,False,1,9,2,12,5,1,7,1,North,South,Stop,Stop,1,5,9999,9999,339,North
1,9,Stop,East,South,None,None,4,False,False,True,False,False,1,1,3,12,5,1,7,1,Stop,East,Stop,Stop,9999,5,9999,9999,538,North
2,9,West,Stop,East,South,None,4,False,False,True,False,False,1,1,4,12,5,1,7,1,Stop,East,Stop,Stop,9999,5,9999,9999,537,East
3,9,West,Stop,East,South,None,4,False,False,True,False,False,1,1,4,12,5,1,7,1,Stop,East,Stop,Stop,9999,4,9999,9999,536,East
4,9,West,Stop,East,South,None,4,False,False,True,False,False,1,1,4,13,5,1,7,1,Stop,North,Stop,Stop,9999,4,9999,9999,535,East
5,9,West,Stop,East,South,None,4,False,False,True,False,False,1,1,4,14,5,1,7,1,Stop,North,Stop,Stop,9999,6,9999,9999,534,East
6,9,West,Stop,East,North,South,4,False,False,True,False,False,1,1,4,13,5,1,7,1,Stop,South,Stop,Stop,9999,6,9999,9999,533,East
6,10,Stop,East,North,South,None,4,False,False,True,False,False,1,1,3,13,5,1,7,1,Stop,West,Stop,Stop,9999,6,9999,9999,532,North
6,11,West,Stop,East,North,South,4,False,False,True,False,False,1,1,4,13,5,1,7,1,Stop,East,Stop,Stop,9999,4,9999,9999,531,North
5,11,West,Stop,East,North,None,4,False,False,True,False,False,1,1,3,13,5,1,7,1,Stop,West,Stop,Stop,9999,4,9999,9999,530,West
4,11,West,Stop,East,North,None,4,False,False,True,False,False,1,1,4,13,5,1,7,1,Stop,East,Stop,Stop,9999,2,9999,9999,529,West
4,12,West,Stop,East,North,South,4,False,False,True,False,False,1,1,4,14,5,1,7,1,Stop,North,Stop,Stop,9999,2,9999,9999,528,North
4,13,West,Stop,East,North,South,4,False,False,True,False,False,1,1,4,14,5,1,7,1,Stop,North,Stop,Stop,9999,1,9999,9999,527,North
4,14,West,Stop,East,South,None,4,False,False,True,False,False,1,1,3,14,5,1,7,1,Stop,West,Stop,Stop,9999,1,9999,9999,526,North
4,14,West,Stop,East,South,None,4,False,False,True,False,False,1,1,3,14,5,1,7,1,Stop,West,Stop,Stop,9999,1,9999,9999,525,North
3,14,West,Stop,East,South,None,4,False,False,True,False,False,1,1,3,13,5,1,7,1,Stop,South,Stop,Stop,9999,1,9999,9999,524,West
2,14,West,Stop,East,South,None,4,False,False,True,False,False,1,1,2,13,5,1,7,1,Stop,West,Stop,Stop,9999,1,9999,9999,523,West
2,13,West,Stop,East,North,South,4,False,False,True,False,False,1,1,1,13,5,1,7,1,Stop,West,Stop,Stop,9999,1,9999,9999,522,South
2,12,West,Stop,East,North,South,4,False,False,True,False,False,1,1,1,12,5,1,7,1,Stop,South,Stop,Stop,9999,1,9999,9999,521,South
1,12,Stop,East,North,South,None,4,False,False,True,False,False,1,1,1,13,5,1,7,1,Stop,North,Stop,Stop,9999,1,9999,9999,520,West
1,12,Stop,East,North,South,None,4,False,False,True,False,False,1,1,1,14,5,1,7,1,Stop,North,Stop,Stop,9999,2,9999,9999,519,West
1,13,Stop,East,North,South,None,4,False,False,True,False,False,1,1,2,14,5,1,7,1,Stop,East,Stop,Stop,9999,2,9999,9999,518,North
1,14,Stop,East,South,None,None,4,False,False,True,False,False,1,1,2,14,5,1,7,1,Stop,East,Stop,Stop,9999,1,9999,9999,517,North
1,18,Stop,East,South,None,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,15,16,13,17,-1,Stop
1,18,Stop,East,South,None,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,15,16,13,17,-2,Stop
1,17,Stop,North,South,None,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,14,15,12,16,-3,South
1,16,Stop,East,North,South,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,13,14,11,15,-4,South
1,15,Stop,East,North,South,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,12,13,10,14,-5,South
1,14,Stop,East,North,South,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,11,12,9,13,-6,South
1,13,Stop,North,South,None,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,10,11,8,12,-7,South
1,12,Stop,East,North,South,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,9,10,7,11,-8,South
1,11,Stop,North,South,None,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,8,9,6,10,-9,South
1,10,Stop,North,South,None,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,7,8,5,9,-10,South
1,9,Stop,North,South,None,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,6,7,4,8,-11,South
1,8,Stop,North,South,None,None,4,False,True,True,True,True,1,3,2,3,5,9,6,6,Stop,Stop,Stop,Stop,5,6,5,7,-12,South
